guid,title,pubDate,description,link,media
https://www.hindustantimes.com/india-news/indore-emerges-as-covid-19-hotspot-nearly-300-cases-recorded-in-a-single-day/story-w7Tu4hvrMXFwilw9Ofa1DP.html,"Indore emerges as Covid-19 hotspot, nearly 300 cases recorded in a single day","Fri, 17 Apr 2020 03:17:04 GMT ","Covid-19 has claimed the lives of 63 people in the state, according to state health officials. Of these, 47 are in Indore alone.",https://www.hindustantimes.com/india-news/indore-emerges-as-covid-19-hotspot-nearly-300-cases-recorded-in-a-single-day/story-w7Tu4hvrMXFwilw9Ofa1DP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/leave-patients-being-recovered-discharched-covid-after_4f0be0ba-8057-11ea-a716-f322ae116ff6.jpg
,,,,,
https://www.hindustantimes.com/india-news/several-parts-of-india-hotter-than-usual-already-imd/story-wO9YzuToEzgShGGZihPEYL.html,Several parts of India hotter than usual already: IMD,"Fri, 17 Apr 2020 12:13:03 GMT ",The highest maximum temperature on Wednesday was at Akola in the Vidarbha region at 43.4 degrees C.,https://www.hindustantimes.com/india-news/several-parts-of-india-hotter-than-usual-already-imd/story-wO9YzuToEzgShGGZihPEYL.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/_b50c2a66-803c-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/army-chief-reviews-security-situation-in-kashmir-as-loc-violations-spike/story-sglr5wRWD9Y4CtIfgcCIeO.html,Army chief reviews security situation in Kashmir as LoC violations spike,"Fri, 17 Apr 2020 12:12:59 GMT ","The army chief, besides reviewing the situation in Kashmir was also briefed about the latest security situation on the LoC, especially in north Kashmir.",https://www.hindustantimes.com/india-news/army-chief-reviews-security-situation-in-kashmir-as-loc-violations-spike/story-sglr5wRWD9Y4CtIfgcCIeO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/_3238961a-803c-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/rapid-kits-finally-arrive-to-test-covid-19-immunity/story-ksBNFO4OtunByDP8ceZ2PJ.html,Rapid kits finally arrive to test Covid-19 immunity,"Thu, 16 Apr 2020 09:45:38 GMT ","ICMR guidelines say antibody test should be run after seven days of illness, as it takes at least five to seven days for antibodies to develop after contracting an infection.",https://www.hindustantimes.com/india-news/rapid-kits-finally-arrive-to-test-covid-19-immunity/story-ksBNFO4OtunByDP8ceZ2PJ.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/17/Pictures/nepal-health-virus_5f4b9d80-8016-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/plasma-therapy-trial-for-covid-19-patients-in-delhi-soon-arvind-kejriwal/story-IefGCqOcefiavH486JRnAO.html,Plasma therapy trial for Covid-19 patients in Delhi soon: Arvind Kejriwal,"Thu, 16 Apr 2020 04:46:26 GMT ",Convalescent plasma is an experimental procedure for Covid-19 patients who are seriously ill. ,https://www.hindustantimes.com/india-news/plasma-therapy-trial-for-covid-19-patients-in-delhi-soon-arvind-kejriwal/story-IefGCqOcefiavH486JRnAO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/16/Pictures/chief-minister-arvind-kejriwal-addresses_9c4c695a-7fe2-11ea-bf35-36f2d834daf8.jpg
,,,,,
https://www.hindustantimes.com/india-news/covid-19-kolkata-howrah-figure-in-red-zone-bengal-s-death-toll-touches-10/story-OWhEXkdGKGEtM4dY8npnQK.html,"Covid-19: Kolkata, Howrah figure in red zone; Bengal's death toll touches 10","Thu, 16 Apr 2020 04:09:50 GMT ","Chief secretary Rajiv Sinha said Kolkata and Howrah figured in the ‘red zone’ earmarked by the Union health ministry. There are 144 active Covid-19 cases in Bengal while 3,811 people had been tested for the infection till date, he said.",https://www.hindustantimes.com/india-news/covid-19-kolkata-howrah-figure-in-red-zone-bengal-s-death-toll-touches-10/story-OWhEXkdGKGEtM4dY8npnQK.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/16/Pictures/coronavirus-protection-department-surveillance-belgachia-municipal-corporation_109e0018-7ffa-11ea-a716-f322ae116ff6.jpg
,,,,,
https://www.hindustantimes.com/india-news/pm-modi-speaks-to-bhutanese-pm-discusses-situation-arising-out-of-covid-19-pandemic/story-ZBfU1MBN1kyN39kqIGpSLN.html,"PM Modi speaks to Bhutanese PM, discusses situation arising out of Covid-19 pan...","Thu, 16 Apr 2020 04:09:48 GMT ","Narendra Modi and Prime Minister Tshering discussed the regional situation in the wake of the COVID-19 pandemic and updated each other about the steps being taken by their governments to control its effects, an official statement later said.",https://www.hindustantimes.com/india-news/pm-modi-speaks-to-bhutanese-pm-discusses-situation-arising-out-of-covid-19-pandemic/story-ZBfU1MBN1kyN39kqIGpSLN.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/04/16/Pictures/centenary-brothers-minister-celebrations-narendra-kirloskar-addressing_27dfcee2-7ff9-11ea-aedf-4d2519fcedc3.JPG
